dept,Year,AIadj,SYSadj,Theoadj,IAadj
Rensselaer Polytechnic Institute,2000,1.50 ,1.25 ,1.00 ,2.70 
Rensselaer Polytechnic Institute,2001,1.00 ,1.33 ,1.00 ,1.66 
Rensselaer Polytechnic Institute,2002,1.00 ,1.33 ,1.33 ,1.52 
Rensselaer Polytechnic Institute,2003,1.50 ,1.33 ,1.25 ,1.00 
Rensselaer Polytechnic Institute,2004,1.00 ,1.25 ,1.17 ,1.55 
Rensselaer Polytechnic Institute,2005,1.83 ,1.73 ,1.00 ,1.50 
Rensselaer Polytechnic Institute,2006,1.50 ,1.53 ,1.33 ,1.53 
Rensselaer Polytechnic Institute,2007,1.56 ,1.50 ,1.75 ,1.42 
Rensselaer Polytechnic Institute,2008,1.60 ,1.00 ,1.00 ,2.00 
Rensselaer Polytechnic Institute,2009,1.75 ,2.00 ,1.00 ,1.29 
Rensselaer Polytechnic Institute,2010,1.96 ,1.00 ,1.25 ,1.83 
Rensselaer Polytechnic Institute,2011,2.00 ,1.00 ,1.67 ,1.63 
Rensselaer Polytechnic Institute,2012,1.78 ,1.44 ,1.00 ,1.73 
Rensselaer Polytechnic Institute,2013,1.66 ,1.00 ,1.17 ,2.00 
Rensselaer Polytechnic Institute,2014,1.92 ,1.00 ,1.00 ,1.83 
Rensselaer Polytechnic Institute,2015,2.42 ,1.25 ,1.00 ,2.04 
Rensselaer Polytechnic Institute,2016,2.61 ,1.00 ,1.00 ,1.83 
Rensselaer Polytechnic Institute,2017,2.00 ,1.00 ,1.00 ,2.00 
