dept,Year,AIadj,SYSadj,Theoadj,IAadj
CUNY,2000,2.24 ,1.33 ,2.77 ,1.50 
CUNY,2001,2.83 ,1.58 ,1.76 ,1.28 
CUNY,2002,1.00 ,1.00 ,1.83 ,1.25 
CUNY,2003,1.50 ,1.25 ,2.31 ,1.42 
CUNY,2004,1.00 ,1.28 ,1.84 ,1.70 
CUNY,2005,1.56 ,1.37 ,1.87 ,1.21 
CUNY,2006,1.25 ,1.33 ,2.00 ,2.50 
CUNY,2007,2.05 ,1.00 ,1.25 ,2.07 
CUNY,2008,1.50 ,1.33 ,1.75 ,1.50 
CUNY,2009,1.41 ,1.33 ,1.00 ,1.96 
CUNY,2010,1.00 ,1.33 ,1.33 ,2.33 
CUNY,2011,1.41 ,1.00 ,1.33 ,2.08 
CUNY,2012,1.17 ,1.50 ,1.00 ,1.63 
CUNY,2013,1.63 ,1.33 ,2.00 ,1.33 
CUNY,2014,1.71 ,1.33 ,1.83 ,1.70 
CUNY,2015,1.42 ,1.06 ,1.00 ,1.62 
CUNY,2016,1.26 ,1.20 ,1.25 ,1.25 
CUNY,2017,1.41 ,1.25 ,1.50 ,1.00 
