dept,Year,AIadj,SYSadj,Theoadj,IAadj
University of Wisconsin - Madison,2000,1.40 ,1.75 ,1.34 ,1.40 
University of Wisconsin - Madison,2001,2.00 ,1.81 ,3.20 ,1.50 
University of Wisconsin - Madison,2002,1.58 ,2.06 ,1.38 ,1.75 
University of Wisconsin - Madison,2003,1.95 ,2.18 ,1.17 ,1.32 
University of Wisconsin - Madison,2004,3.08 ,2.27 ,1.38 ,1.50 
University of Wisconsin - Madison,2005,1.93 ,1.83 ,1.53 ,1.41 
University of Wisconsin - Madison,2006,1.53 ,1.92 ,2.00 ,1.53 
University of Wisconsin - Madison,2007,1.90 ,1.91 ,1.60 ,1.52 
University of Wisconsin - Madison,2008,1.93 ,1.97 ,1.80 ,1.37 
University of Wisconsin - Madison,2009,2.02 ,1.62 ,1.83 ,1.48 
University of Wisconsin - Madison,2010,1.98 ,1.78 ,2.29 ,2.00 
University of Wisconsin - Madison,2011,2.59 ,2.07 ,1.33 ,1.42 
University of Wisconsin - Madison,2012,1.79 ,1.86 ,2.85 ,1.66 
University of Wisconsin - Madison,2013,2.50 ,2.06 ,2.31 ,1.97 
University of Wisconsin - Madison,2014,2.13 ,2.36 ,2.01 ,1.65 
University of Wisconsin - Madison,2015,2.24 ,1.96 ,1.50 ,1.72 
University of Wisconsin - Madison,2016,2.35 ,2.22 ,1.71 ,1.74 
University of Wisconsin - Madison,2017,3.09 ,2.22 ,2.20 ,2.02 
