dept,Year,AIadj,SYSadj,Theoadj,IAadj
Washington University in St. Louis,2000,1.83 ,1.36 ,1.00 ,1.50 
Washington University in St. Louis,2001,2.11 ,1.51 ,1.00 ,1.75 
Washington University in St. Louis,2002,1.87 ,1.26 ,1.00 ,1.65 
Washington University in St. Louis,2003,2.33 ,1.67 ,1.00 ,1.36 
Washington University in St. Louis,2004,1.75 ,4.99 ,1.00 ,1.52 
Washington University in St. Louis,2005,1.59 ,3.07 ,1.00 ,1.45 
Washington University in St. Louis,2006,1.59 ,1.56 ,1.00 ,1.17 
Washington University in St. Louis,2007,1.62 ,1.53 ,1.00 ,1.29 
Washington University in St. Louis,2008,1.67 ,2.04 ,1.50 ,1.26 
Washington University in St. Louis,2009,2.14 ,2.00 ,1.50 ,1.30 
Washington University in St. Louis,2010,1.49 ,2.72 ,1.50 ,1.37 
Washington University in St. Louis,2011,1.54 ,5.42 ,2.33 ,1.25 
Washington University in St. Louis,2012,1.66 ,1.78 ,1.53 ,1.73 
Washington University in St. Louis,2013,3.11 ,2.95 ,1.33 ,1.36 
Washington University in St. Louis,2014,1.96 ,1.71 ,1.64 ,1.52 
Washington University in St. Louis,2015,1.98 ,1.70 ,1.25 ,1.55 
Washington University in St. Louis,2016,3.23 ,2.42 ,1.50 ,1.19 
Washington University in St. Louis,2017,2.82 ,1.20 ,1.83 ,1.29 
