dept,Year,AIadj,SYSadj,Theoadj,IAadj
University of California - San Diego,2000,2.24 ,1.73 ,1.76 ,1.65 
University of California - San Diego,2001,2.36 ,1.76 ,2.04 ,2.00 
University of California - San Diego,2002,2.23 ,1.95 ,2.28 ,2.39 
University of California - San Diego,2003,3.44 ,1.87 ,2.23 ,2.77 
University of California - San Diego,2004,2.92 ,1.96 ,2.96 ,2.02 
University of California - San Diego,2005,3.97 ,1.89 ,1.69 ,1.81 
University of California - San Diego,2006,3.78 ,2.05 ,2.48 ,1.95 
University of California - San Diego,2007,4.01 ,1.88 ,1.64 ,1.35 
University of California - San Diego,2008,4.08 ,1.86 ,2.22 ,1.96 
University of California - San Diego,2009,3.96 ,1.90 ,2.57 ,1.86 
University of California - San Diego,2010,2.39 ,1.94 ,3.32 ,1.99 
University of California - San Diego,2011,1.67 ,1.95 ,2.40 ,1.95 
University of California - San Diego,2012,2.27 ,2.05 ,2.96 ,1.86 
University of California - San Diego,2013,2.19 ,2.07 ,3.13 ,1.84 
University of California - San Diego,2014,2.11 ,1.75 ,1.83 ,1.74 
University of California - San Diego,2015,1.93 ,1.97 ,2.72 ,1.92 
University of California - San Diego,2016,2.69 ,1.79 ,4.01 ,2.31 
University of California - San Diego,2017,1.84 ,2.40 ,2.24 ,4.37 
