dept,Year,AIadj,SYSadj,Theoadj,IAadj
University of Nebraska,2000,1.50 ,2.31 ,1.00 ,1.00 
University of Nebraska,2001,1.50 ,1.64 ,1.00 ,1.00 
University of Nebraska,2002,1.00 ,1.67 ,1.00 ,1.00 
University of Nebraska,2003,1.50 ,2.22 ,1.00 ,1.13 
University of Nebraska,2004,1.00 ,1.75 ,1.00 ,1.00 
University of Nebraska,2005,1.33 ,1.58 ,1.00 ,1.00 
University of Nebraska,2006,1.33 ,2.03 ,1.00 ,1.25 
University of Nebraska,2007,1.73 ,1.84 ,1.00 ,1.17 
University of Nebraska,2008,1.00 ,1.93 ,1.00 ,1.29 
University of Nebraska,2009,1.00 ,2.04 ,1.00 ,1.00 
University of Nebraska,2010,1.20 ,1.54 ,1.00 ,1.83 
University of Nebraska,2011,1.50 ,1.93 ,1.00 ,1.00 
University of Nebraska,2012,1.00 ,1.71 ,1.00 ,1.71 
University of Nebraska,2013,1.53 ,2.09 ,1.00 ,1.49 
University of Nebraska,2014,1.00 ,2.30 ,1.00 ,1.41 
University of Nebraska,2015,1.00 ,1.87 ,1.00 ,1.90 
University of Nebraska,2016,1.00 ,3.48 ,1.00 ,2.17 
University of Nebraska,2017,1.00 ,4.15 ,1.00 ,1.67 
