dept,Year,AIadj,SYSadj,Theoadj,IAadj
Boston University,2000,1.83 ,1.41 ,1.62 ,1.00 
Boston University,2001,1.97 ,1.54 ,2.98 ,1.00 
Boston University,2002,1.20 ,1.29 ,2.37 ,1.00 
Boston University,2003,3.00 ,1.41 ,2.50 ,1.00 
Boston University,2004,1.32 ,1.55 ,1.74 ,1.00 
Boston University,2005,1.83 ,1.41 ,1.60 ,1.00 
Boston University,2006,1.53 ,1.45 ,1.58 ,1.00 
Boston University,2007,1.73 ,1.60 ,1.41 ,1.00 
Boston University,2008,2.15 ,1.38 ,1.51 ,1.00 
Boston University,2009,2.18 ,1.25 ,1.50 ,1.33 
Boston University,2010,2.09 ,1.26 ,1.64 ,2.00 
Boston University,2011,2.62 ,1.45 ,1.80 ,1.13 
Boston University,2012,2.60 ,1.63 ,1.58 ,1.55 
Boston University,2013,1.94 ,1.41 ,3.17 ,1.25 
Boston University,2014,2.30 ,1.41 ,2.19 ,1.37 
Boston University,2015,2.42 ,1.62 ,2.27 ,1.20 
Boston University,2016,1.72 ,1.45 ,2.06 ,1.25 
Boston University,2017,1.77 ,1.29 ,1.51 ,1.31 
