dept,Year,AIadj,SYSadj,Theoadj,IAadj
Georgetown University,2000,2.00 ,1.50 ,1.33 ,1.00 
Georgetown University,2001,1.00 ,1.00 ,1.75 ,1.00 
Georgetown University,2002,1.00 ,1.37 ,1.00 ,1.00 
Georgetown University,2003,1.25 ,1.00 ,1.25 ,1.00 
Georgetown University,2004,1.34 ,1.33 ,1.83 ,1.00 
Georgetown University,2005,1.50 ,1.00 ,1.00 ,1.00 
Georgetown University,2006,1.50 ,1.26 ,1.25 ,1.00 
Georgetown University,2007,1.00 ,1.53 ,1.45 ,1.00 
Georgetown University,2008,1.00 ,1.00 ,1.52 ,1.00 
Georgetown University,2009,1.50 ,1.26 ,1.41 ,1.00 
Georgetown University,2010,1.33 ,1.41 ,1.67 ,1.00 
Georgetown University,2011,1.00 ,1.53 ,1.67 ,1.00 
Georgetown University,2012,2.25 ,1.30 ,1.00 ,2.00 
Georgetown University,2013,1.26 ,1.39 ,2.50 ,1.00 
Georgetown University,2014,1.25 ,1.23 ,1.42 ,1.00 
Georgetown University,2015,2.24 ,1.22 ,1.78 ,1.00 
Georgetown University,2016,1.00 ,1.50 ,1.42 ,1.00 
Georgetown University,2017,1.29 ,1.36 ,2.07 ,1.00 
