dept,Year,AIadj,SYSadj,Theoadj,IAadj
University of New Mexico,2000,1.50 ,1.50 ,1.00 ,1.25 
University of New Mexico,2001,1.50 ,1.33 ,1.40 ,1.00 
University of New Mexico,2002,1.00 ,1.48 ,1.50 ,1.00 
University of New Mexico,2003,1.00 ,1.36 ,2.50 ,1.00 
University of New Mexico,2004,1.00 ,1.61 ,1.75 ,1.33 
University of New Mexico,2005,1.20 ,1.25 ,2.50 ,1.20 
University of New Mexico,2006,1.50 ,1.18 ,3.00 ,1.37 
University of New Mexico,2007,1.33 ,1.29 ,1.33 ,1.50 
University of New Mexico,2008,1.00 ,1.46 ,1.40 ,1.00 
University of New Mexico,2009,1.00 ,1.25 ,1.00 ,1.43 
University of New Mexico,2010,1.50 ,1.33 ,1.00 ,1.36 
University of New Mexico,2011,1.29 ,1.22 ,1.00 ,1.61 
University of New Mexico,2012,1.13 ,1.66 ,1.00 ,1.40 
University of New Mexico,2013,1.00 ,1.33 ,1.50 ,1.56 
University of New Mexico,2014,1.00 ,1.29 ,1.50 ,1.25 
University of New Mexico,2015,1.40 ,1.00 ,1.00 ,2.20 
University of New Mexico,2016,1.00 ,1.53 ,1.20 ,2.12 
University of New Mexico,2017,1.00 ,1.00 ,1.00 ,1.20 
