dept,Year,AIadj,SYSadj,Theoadj,IAadj
University of Miami,2000,1.50 ,1.00 ,1.00 ,1.00 
University of Miami,2001,1.33 ,1.00 ,1.00 ,1.50 
University of Miami,2003,1.33 ,1.00 ,1.00 ,1.00 
University of Miami,2004,1.49 ,1.00 ,1.00 ,1.00 
University of Miami,2005,1.33 ,1.00 ,1.00 ,1.00 
University of Miami,2006,1.00 ,1.20 ,1.00 ,1.00 
University of Miami,2007,1.00 ,1.17 ,1.00 ,1.00 
University of Miami,2009,1.33 ,1.00 ,1.00 ,1.25 
University of Miami,2010,1.00 ,1.00 ,1.00 ,1.33 
University of Miami,2011,1.00 ,1.00 ,1.00 ,1.50 
University of Miami,2012,1.33 ,1.00 ,1.00 ,1.00 
University of Miami,2013,1.00 ,1.00 ,1.00 ,1.33 
University of Miami,2014,1.00 ,1.00 ,1.00 ,1.33 
