dept,Year,AIadj,SYSadj,Theoadj,IAadj
University of California - Irvine,2000,3.00 ,1.77 ,1.75 ,1.28 
University of California - Irvine,2001,2.46 ,1.56 ,3.00 ,1.25 
University of California - Irvine,2002,1.67 ,1.98 ,2.42 ,1.65 
University of California - Irvine,2003,2.59 ,1.78 ,2.06 ,1.73 
University of California - Irvine,2004,2.67 ,1.97 ,2.47 ,2.67 
University of California - Irvine,2005,2.34 ,1.83 ,2.58 ,1.90 
University of California - Irvine,2006,2.39 ,1.35 ,1.58 ,1.87 
University of California - Irvine,2007,2.52 ,1.80 ,2.03 ,1.48 
University of California - Irvine,2008,1.61 ,1.59 ,2.00 ,1.85 
University of California - Irvine,2009,1.78 ,1.61 ,2.00 ,1.66 
University of California - Irvine,2010,1.97 ,2.01 ,3.00 ,2.66 
University of California - Irvine,2011,1.94 ,1.70 ,1.00 ,1.72 
University of California - Irvine,2012,2.08 ,1.93 ,2.50 ,2.19 
University of California - Irvine,2013,1.90 ,2.02 ,1.32 ,2.25 
University of California - Irvine,2014,1.85 ,1.67 ,2.83 ,2.26 
University of California - Irvine,2015,1.91 ,1.81 ,1.17 ,1.65 
University of California - Irvine,2016,2.01 ,1.56 ,2.00 ,1.97 
University of California - Irvine,2017,1.64 ,1.68 ,1.25 ,2.26 
