dept,Year,AIadj,SYSadj,Theoadj,IAadj
Drexel University,2000,1.00 ,1.00 ,1.00 ,1.37 
Drexel University,2001,1.67 ,1.00 ,1.00 ,1.46 
Drexel University,2002,1.20 ,1.00 ,1.00 ,1.37 
Drexel University,2003,1.80 ,1.00 ,1.00 ,1.50 
Drexel University,2004,2.09 ,1.50 ,1.00 ,1.33 
Drexel University,2005,1.64 ,1.23 ,1.00 ,1.36 
Drexel University,2006,1.33 ,1.50 ,1.00 ,1.00 
Drexel University,2007,1.87 ,1.00 ,1.00 ,1.58 
Drexel University,2008,1.41 ,1.28 ,1.00 ,1.23 
Drexel University,2009,3.06 ,1.70 ,1.00 ,2.09 
Drexel University,2010,1.94 ,1.00 ,1.00 ,1.00 
Drexel University,2011,1.55 ,1.43 ,1.20 ,1.09 
Drexel University,2012,3.33 ,1.71 ,1.00 ,1.17 
Drexel University,2013,1.29 ,1.67 ,1.00 ,2.00 
Drexel University,2014,1.50 ,1.37 ,1.00 ,1.63 
Drexel University,2015,1.83 ,1.19 ,1.50 ,1.00 
Drexel University,2016,1.54 ,1.34 ,1.00 ,1.00 
Drexel University,2017,1.46 ,1.55 ,1.00 ,2.00 
