dept,Year,AIadj,SYSadj,Theoadj,IAadj
University of Notre Dame,2000,2.33 ,1.71 ,1.00 ,1.25 
University of Notre Dame,2001,1.63 ,1.80 ,1.00 ,1.00 
University of Notre Dame,2002,1.00 ,1.58 ,1.00 ,1.00 
University of Notre Dame,2003,1.00 ,1.54 ,1.00 ,1.33 
University of Notre Dame,2004,1.00 ,1.38 ,1.00 ,1.00 
University of Notre Dame,2005,2.43 ,1.68 ,1.00 ,1.00 
University of Notre Dame,2006,1.00 ,1.83 ,1.00 ,1.50 
University of Notre Dame,2007,1.83 ,1.35 ,1.00 ,1.00 
University of Notre Dame,2008,1.58 ,1.34 ,1.00 ,1.33 
University of Notre Dame,2009,1.67 ,1.60 ,1.00 ,1.00 
University of Notre Dame,2010,1.53 ,1.77 ,1.00 ,1.20 
University of Notre Dame,2011,1.26 ,1.39 ,1.00 ,1.94 
University of Notre Dame,2012,1.39 ,1.66 ,1.00 ,1.20 
University of Notre Dame,2013,1.42 ,1.45 ,1.00 ,1.00 
University of Notre Dame,2014,1.52 ,1.66 ,1.00 ,1.31 
University of Notre Dame,2015,1.67 ,1.39 ,1.00 ,1.33 
University of Notre Dame,2016,1.53 ,1.43 ,1.00 ,1.20 
University of Notre Dame,2017,1.44 ,1.61 ,1.00 ,1.00 
