dept,Year,AIadj,SYSadj,Theoadj,IAadj
University of Oregon,2000,1.00 ,1.29 ,1.00 ,1.00 
University of Oregon,2001,1.00 ,1.17 ,1.00 ,1.00 
University of Oregon,2003,1.00 ,1.00 ,1.00 ,1.50 
University of Oregon,2004,1.00 ,1.33 ,1.00 ,1.00 
University of Oregon,2005,2.00 ,1.73 ,1.00 ,1.51 
University of Oregon,2006,1.00 ,1.64 ,1.00 ,1.00 
University of Oregon,2007,1.41 ,1.22 ,1.00 ,1.00 
University of Oregon,2008,1.00 ,1.26 ,1.00 ,1.00 
University of Oregon,2009,1.00 ,1.24 ,1.00 ,1.00 
University of Oregon,2010,1.50 ,1.33 ,1.00 ,1.33 
University of Oregon,2011,1.50 ,1.18 ,1.00 ,1.00 
University of Oregon,2012,1.00 ,1.00 ,1.00 ,1.13 
University of Oregon,2013,1.34 ,1.25 ,1.00 ,1.14 
University of Oregon,2014,2.00 ,1.34 ,1.00 ,2.00 
University of Oregon,2015,1.50 ,1.29 ,1.00 ,1.00 
University of Oregon,2016,1.79 ,1.29 ,1.17 ,1.00 
University of Oregon,2017,1.00 ,1.58 ,1.00 ,1.20 
