dept,Year,AIadj,SYSadj,Theoadj,IAadj
University of Rochester,2000,1.51 ,1.90 ,1.00 ,1.00 
University of Rochester,2001,1.53 ,1.67 ,1.50 ,1.00 
University of Rochester,2002,1.52 ,1.61 ,1.33 ,1.00 
University of Rochester,2003,1.70 ,1.55 ,1.33 ,1.22 
University of Rochester,2004,1.74 ,1.83 ,1.50 ,1.11 
University of Rochester,2005,1.58 ,1.63 ,1.00 ,1.00 
University of Rochester,2006,2.05 ,1.56 ,1.25 ,1.50 
University of Rochester,2007,2.40 ,1.80 ,1.83 ,1.00 
University of Rochester,2008,2.09 ,2.62 ,1.20 ,1.67 
University of Rochester,2009,1.79 ,1.51 ,1.33 ,1.00 
University of Rochester,2010,2.07 ,1.78 ,1.25 ,1.00 
University of Rochester,2011,1.36 ,1.33 ,1.37 ,1.00 
University of Rochester,2012,2.28 ,1.50 ,1.00 ,1.25 
University of Rochester,2013,1.97 ,3.03 ,1.00 ,1.37 
University of Rochester,2014,1.55 ,1.63 ,1.33 ,1.33 
University of Rochester,2015,1.79 ,2.02 ,1.25 ,1.33 
University of Rochester,2016,1.80 ,2.49 ,1.34 ,1.45 
University of Rochester,2017,1.62 ,1.37 ,1.33 ,1.20 
