area,year,count
NAACL,2001,7
NAACL,2003,35
NAACL,2004,17
NAACL,2006,40
NAACL,2007,31
NAACL,2009,33
NAACL,2010,30
NAACL,2012,38
NAACL,2013,53
NAACL,2015,73
NAACL,2016,64
