area,year,count
ICML,2000,55
ICML,2001,27
ICML,2002,30
ICML,2003,55
ICML,2004,49
ICML,2005,53
ICML,2006,64
ICML,2007,54
ICML,2008,72
ICML,2009,64
ICML,2010,61
ICML,2011,58
ICML,2012,83
ICML,2013,106
ICML,2014,109
ICML,2015,91
ICML,2016,122
ICML,2017,130
