area,year,count
IJCAI,2001,48
IJCAI,2003,54
IJCAI,2005,54
IJCAI,2007,104
IJCAI,2009,74
IJCAI,2011,89
IJCAI,2013,71
IJCAI,2015,99
IJCAI,2016,126
IJCAI,2017,102
