dept,Year,AIadj,SYSadj,Theoadj,IAadj
University of Iowa,2000,1.00 ,1.00 ,2.00 ,1.07 
University of Iowa,2001,1.25 ,1.50 ,1.51 ,1.00 
University of Iowa,2002,1.00 ,2.00 ,1.33 ,1.00 
University of Iowa,2003,1.00 ,1.00 ,1.00 ,1.33 
University of Iowa,2004,1.50 ,2.50 ,1.41 ,1.50 
University of Iowa,2005,1.00 ,1.33 ,2.00 ,1.25 
University of Iowa,2006,1.00 ,1.48 ,1.75 ,1.00 
University of Iowa,2007,1.00 ,1.29 ,2.00 ,1.00 
University of Iowa,2008,1.00 ,1.71 ,1.20 ,1.00 
University of Iowa,2009,1.25 ,1.00 ,1.50 ,1.14 
University of Iowa,2010,1.53 ,1.22 ,2.00 ,1.25 
University of Iowa,2011,1.25 ,1.25 ,1.13 ,1.41 
University of Iowa,2012,1.44 ,1.21 ,1.50 ,1.33 
University of Iowa,2013,2.58 ,1.17 ,1.25 ,1.70 
University of Iowa,2014,1.50 ,1.35 ,1.40 ,1.33 
University of Iowa,2015,1.34 ,1.33 ,1.26 ,1.25 
University of Iowa,2016,1.73 ,1.00 ,1.25 ,1.14 
University of Iowa,2017,2.43 ,1.78 ,1.31 ,1.40 
