dept,Year,AIadj,SYSadj,Theoadj,IAadj
University of South Carolina,2000,1.00 ,1.00 ,1.00 ,1.33 
University of South Carolina,2001,2.08 ,1.00 ,1.00 ,1.25 
University of South Carolina,2002,1.00 ,1.00 ,1.00 ,1.33 
University of South Carolina,2003,1.33 ,1.00 ,1.00 ,1.87 
University of South Carolina,2004,1.67 ,1.33 ,1.00 ,1.78 
University of South Carolina,2005,1.50 ,1.00 ,1.00 ,2.07 
University of South Carolina,2006,1.80 ,1.46 ,1.00 ,3.00 
University of South Carolina,2007,1.50 ,1.00 ,1.00 ,1.83 
University of South Carolina,2008,2.17 ,1.00 ,1.00 ,1.67 
University of South Carolina,2009,2.08 ,1.17 ,1.00 ,2.58 
University of South Carolina,2010,1.67 ,1.23 ,1.00 ,3.00 
University of South Carolina,2011,1.45 ,1.35 ,1.00 ,3.48 
University of South Carolina,2012,1.48 ,1.25 ,1.00 ,2.91 
University of South Carolina,2013,1.10 ,1.40 ,1.00 ,2.00 
University of South Carolina,2014,1.67 ,1.70 ,1.00 ,2.75 
University of South Carolina,2015,1.32 ,1.22 ,1.00 ,2.20 
University of South Carolina,2016,1.19 ,1.46 ,1.33 ,1.92 
University of South Carolina,2017,1.00 ,1.20 ,1.00 ,1.78 
