dept,Year,AIadj,SYSadj,Theoadj,IAadj
University of Connecticut,2000,1.00 ,1.00 ,1.33 ,1.00 
University of Connecticut,2002,1.20 ,1.50 ,1.50 ,1.00 
University of Connecticut,2003,2.50 ,1.45 ,1.33 ,1.00 
University of Connecticut,2004,2.08 ,1.33 ,1.58 ,1.00 
University of Connecticut,2005,1.33 ,1.33 ,1.33 ,1.33 
University of Connecticut,2006,1.48 ,1.00 ,1.20 ,1.20 
University of Connecticut,2007,2.27 ,1.17 ,1.67 ,1.58 
University of Connecticut,2008,1.26 ,1.14 ,1.00 ,1.00 
University of Connecticut,2009,1.50 ,1.38 ,1.25 ,1.00 
University of Connecticut,2010,1.39 ,1.33 ,1.00 ,1.00 
University of Connecticut,2011,1.42 ,1.20 ,1.33 ,1.20 
University of Connecticut,2012,1.29 ,1.18 ,1.67 ,1.00 
University of Connecticut,2013,1.33 ,1.21 ,1.25 ,2.00 
University of Connecticut,2014,1.58 ,1.17 ,1.25 ,1.20 
University of Connecticut,2015,1.83 ,1.00 ,1.29 ,1.00 
University of Connecticut,2016,1.32 ,1.14 ,1.43 ,2.25 
University of Connecticut,2017,1.15 ,1.20 ,1.67 ,1.00 
