dept,Year,AIadj,SYSadj,Theoadj,IAadj
Vanderbilt University,2000,1.37 ,1.00 ,1.33 ,1.00 
Vanderbilt University,2001,1.17 ,3.00 ,2.00 ,1.00 
Vanderbilt University,2002,1.00 ,1.63 ,1.50 ,1.25 
Vanderbilt University,2003,1.50 ,1.50 ,1.75 ,1.25 
Vanderbilt University,2004,1.00 ,1.52 ,1.00 ,1.50 
Vanderbilt University,2005,1.33 ,1.73 ,1.00 ,1.00 
Vanderbilt University,2006,1.50 ,1.57 ,1.00 ,2.16 
Vanderbilt University,2007,1.49 ,1.63 ,1.00 ,2.00 
Vanderbilt University,2008,1.00 ,1.83 ,1.00 ,1.00 
Vanderbilt University,2009,1.25 ,2.00 ,1.00 ,2.00 
Vanderbilt University,2010,1.00 ,1.85 ,1.00 ,2.00 
Vanderbilt University,2011,1.33 ,1.40 ,1.00 ,2.00 
Vanderbilt University,2012,1.64 ,1.58 ,1.00 ,2.00 
Vanderbilt University,2013,1.00 ,1.34 ,1.00 ,1.00 
Vanderbilt University,2014,1.50 ,1.22 ,1.00 ,1.00 
Vanderbilt University,2015,3.00 ,1.50 ,1.00 ,1.17 
Vanderbilt University,2016,2.17 ,1.50 ,1.00 ,1.00 
Vanderbilt University,2017,1.25 ,1.00 ,1.00 ,1.20 
