dept,Year,AIadj,SYSadj,Theoadj,IAadj
Virginia Commonwealth University,2002,1.00 ,1.00 ,1.00 ,1.50 
Virginia Commonwealth University,2004,1.00 ,1.00 ,1.00 ,1.50 
Virginia Commonwealth University,2007,1.00 ,1.20 ,1.00 ,1.00 
Virginia Commonwealth University,2009,1.00 ,1.00 ,1.33 ,2.00 
Virginia Commonwealth University,2010,1.00 ,1.00 ,1.00 ,1.33 
Virginia Commonwealth University,2011,1.00 ,1.25 ,1.00 ,1.50 
Virginia Commonwealth University,2012,1.00 ,1.25 ,1.00 ,1.30 
Virginia Commonwealth University,2013,1.17 ,1.00 ,1.00 ,1.00 
Virginia Commonwealth University,2014,1.00 ,1.00 ,1.11 ,1.34 
Virginia Commonwealth University,2015,1.00 ,1.00 ,1.58 ,1.00 
Virginia Commonwealth University,2016,1.17 ,1.33 ,1.33 ,1.50 
Virginia Commonwealth University,2017,1.37 ,1.25 ,1.00 ,1.00 
