dept,Year,AIadj,SYSadj,Theoadj,IAadj
Naval Postgraduate School,2000,1.00 ,1.50 ,1.00 ,1.00 
Naval Postgraduate School,2007,1.00 ,1.25 ,1.00 ,1.00 
Naval Postgraduate School,2009,1.00 ,1.25 ,1.00 ,1.00 
Naval Postgraduate School,2010,1.00 ,1.33 ,1.00 ,1.00 
Naval Postgraduate School,2011,1.00 ,1.33 ,1.00 ,1.00 
Naval Postgraduate School,2013,1.00 ,1.31 ,1.00 ,1.00 
Naval Postgraduate School,2014,1.00 ,1.33 ,1.00 ,1.00 
Naval Postgraduate School,2015,1.00 ,1.20 ,1.00 ,1.00 
Naval Postgraduate School,2016,1.00 ,2.00 ,1.00 ,1.17 
Naval Postgraduate School,2017,1.00 ,1.50 ,1.00 ,1.00 
