dept,Year,AIadj,SYSadj,Theoadj,IAadj
University of Texas at San Antonio,2000,1.33 ,1.33 ,1.00 ,1.00 
University of Texas at San Antonio,2001,1.00 ,1.33 ,1.00 ,1.00 
University of Texas at San Antonio,2002,1.00 ,1.33 ,1.25 ,1.00 
University of Texas at San Antonio,2003,1.20 ,1.33 ,1.00 ,1.00 
University of Texas at San Antonio,2004,1.00 ,1.41 ,1.00 ,1.33 
University of Texas at San Antonio,2005,1.0,1.0,1.0,1.0
University of Texas at San Antonio,2006,1.37 ,1.35 ,1.00 ,1.00 
University of Texas at San Antonio,2007,1.00 ,1.50 ,1.00 ,1.00 
University of Texas at San Antonio,2008,1.45 ,1.24 ,1.20 ,1.20 
University of Texas at San Antonio,2009,1.00 ,1.31 ,1.50 ,1.00 
University of Texas at San Antonio,2010,1.00 ,1.45 ,1.00 ,1.00 
University of Texas at San Antonio,2011,2.17 ,1.39 ,1.00 ,1.00 
University of Texas at San Antonio,2012,1.51 ,1.49 ,1.00 ,1.00 
University of Texas at San Antonio,2013,1.85 ,1.53 ,1.00 ,1.00 
University of Texas at San Antonio,2014,1.48 ,1.41 ,1.00 ,1.00 
University of Texas at San Antonio,2015,2.15 ,1.25 ,1.00 ,1.33 
University of Texas at San Antonio,2016,2.54 ,1.70 ,1.00 ,1.00 
University of Texas at San Antonio,2017,1.76 ,1.45 ,1.00 ,1.50 
