dept,Year,AIadj,SYSadj,Theoadj,IAadj
Northern Arizona University,2000,1.0,1.0,1.0,1.0
Northern Arizona University,2001,1.00 ,1.00 ,1.33 ,1.00 
Northern Arizona University,2002,1.00 ,1.50 ,1.00 ,1.00 
Northern Arizona University,2003,1.00 ,1.20 ,1.00 ,1.00 
Northern Arizona University,2004,1.00 ,1.33 ,1.00 ,1.00 
Northern Arizona University,2005,1.0,1.0,1.0,1.0
Northern Arizona University,2006,1.00 ,1.25 ,1.00 ,1.11 
Northern Arizona University,2007,1.0,1.0,1.0,1.0
Northern Arizona University,2008,1.00 ,1.25 ,1.00 ,1.00 
Northern Arizona University,2009,1.0,1.0,1.0,1.0
Northern Arizona University,2010,1.0,1.0,1.0,1.0
Northern Arizona University,2011,1.00 ,1.14 ,1.00 ,1.00 
Northern Arizona University,2012,1.00 ,1.26 ,1.00 ,1.00 
Northern Arizona University,2013,1.00 ,1.15 ,1.00 ,1.00 
Northern Arizona University,2014,1.20 ,1.67 ,1.00 ,1.00 
Northern Arizona University,2015,1.00 ,1.44 ,1.00 ,1.00 
Northern Arizona University,2016,1.00 ,2.10 ,1.00 ,1.00 
Northern Arizona University,2017,1.00 ,1.33 ,1.00 ,1.33 
