dept,Year,AIadj,SYSadj,Theoadj,IAadj
University of Utah,2000,1.00 ,1.32 ,1.53 ,2.48 
University of Utah,2001,1.00 ,1.49 ,1.33 ,1.88 
University of Utah,2002,1.00 ,1.49 ,1.33 ,2.11 
University of Utah,2003,1.26 ,1.50 ,1.00 ,3.33 
University of Utah,2004,1.50 ,1.60 ,1.33 ,2.46 
University of Utah,2005,1.51 ,1.40 ,1.00 ,1.50 
University of Utah,2006,1.46 ,1.32 ,2.00 ,1.50 
University of Utah,2007,1.58 ,1.53 ,1.20 ,3.04 
University of Utah,2008,1.46 ,1.35 ,1.67 ,2.20 
University of Utah,2009,1.59 ,1.47 ,1.33 ,1.82 
University of Utah,2010,1.69 ,1.52 ,1.20 ,1.57 
University of Utah,2011,1.65 ,1.52 ,1.50 ,1.70 
University of Utah,2012,1.83 ,1.56 ,2.12 ,2.36 
University of Utah,2013,1.94 ,1.59 ,2.25 ,2.02 
University of Utah,2014,2.02 ,1.54 ,1.84 ,1.86 
University of Utah,2015,1.61 ,1.51 ,1.50 ,1.54 
University of Utah,2016,1.92 ,1.76 ,1.20 ,1.35 
University of Utah,2017,1.72 ,1.42 ,1.00 ,1.66 
