dept,Year,AIadj,SYSadj,Theoadj,IAadj
University of Texas at Austin,2000,2.46 ,1.62 ,1.41 ,1.33 
University of Texas at Austin,2001,1.70 ,1.54 ,2.61 ,1.00 
University of Texas at Austin,2002,1.68 ,1.41 ,3.67 ,1.00 
University of Texas at Austin,2003,1.90 ,1.46 ,2.29 ,2.00 
University of Texas at Austin,2004,2.33 ,1.47 ,3.27 ,1.29 
University of Texas at Austin,2005,2.11 ,1.46 ,2.79 ,2.67 
University of Texas at Austin,2006,2.65 ,1.57 ,3.39 ,1.73 
University of Texas at Austin,2007,2.99 ,1.62 ,2.25 ,2.00 
University of Texas at Austin,2008,2.48 ,1.72 ,2.72 ,2.50 
University of Texas at Austin,2009,2.09 ,1.77 ,2.75 ,1.39 
University of Texas at Austin,2010,3.31 ,1.60 ,2.74 ,1.80 
University of Texas at Austin,2011,3.67 ,1.93 ,2.69 ,1.64 
University of Texas at Austin,2012,2.32 ,1.37 ,2.48 ,2.06 
University of Texas at Austin,2013,3.35 ,1.40 ,2.01 ,1.45 
University of Texas at Austin,2014,3.42 ,1.41 ,2.59 ,1.48 
University of Texas at Austin,2015,3.06 ,1.65 ,2.77 ,1.81 
University of Texas at Austin,2016,3.36 ,1.63 ,2.79 ,1.37 
University of Texas at Austin,2017,2.62 ,1.73 ,2.05 ,1.34 
