dept,Year,AIadj,SYSadj,Theoadj,IAadj
University of Arizona,2000,2.33 ,1.50 ,1.42 ,1.33 
University of Arizona,2001,1.43 ,1.41 ,1.92 ,1.70 
University of Arizona,2002,1.25 ,1.57 ,1.00 ,1.00 
University of Arizona,2003,1.22 ,1.42 ,1.50 ,1.50 
University of Arizona,2004,1.33 ,1.42 ,1.33 ,1.50 
University of Arizona,2005,1.45 ,1.41 ,1.00 ,1.14 
University of Arizona,2006,1.50 ,1.50 ,1.00 ,1.41 
University of Arizona,2007,1.75 ,1.45 ,1.20 ,1.34 
University of Arizona,2008,1.41 ,1.42 ,1.00 ,1.60 
University of Arizona,2009,1.50 ,1.21 ,1.00 ,1.26 
University of Arizona,2010,1.14 ,1.41 ,1.00 ,1.00 
University of Arizona,2011,1.35 ,1.25 ,1.00 ,1.14 
University of Arizona,2012,1.44 ,1.36 ,1.00 ,1.28 
University of Arizona,2013,1.84 ,1.48 ,1.33 ,1.33 
University of Arizona,2014,1.73 ,1.37 ,1.00 ,1.56 
University of Arizona,2015,1.82 ,1.51 ,1.00 ,1.00 
University of Arizona,2016,1.45 ,1.14 ,1.00 ,1.41 
University of Arizona,2017,1.25 ,1.36 ,1.00 ,1.47 
