dept,Year,AIadj,SYSadj,Theoadj,IAadj
Colorado School of Mines,2000,1.00 ,1.33 ,1.00 ,1.33 
Colorado School of Mines,2001,1.0,1.0,1.0,1.0
Colorado School of Mines,2002,1.0,1.0,1.0,1.0
Colorado School of Mines,2003,1.00 ,1.50 ,1.00 ,1.50 
Colorado School of Mines,2004,1.0,1.0,1.0,1.0
Colorado School of Mines,2005,1.0,1.0,1.0,1.0
Colorado School of Mines,2006,1.00 ,1.25 ,1.00 ,1.00 
Colorado School of Mines,2007,1.0,1.0,1.0,1.0
Colorado School of Mines,2008,1.0,1.0,1.0,1.0
Colorado School of Mines,2009,1.41 ,1.33 ,1.00 ,1.50 
Colorado School of Mines,2010,1.83 ,1.25 ,1.00 ,1.33 
Colorado School of Mines,2011,1.52 ,1.00 ,1.00 ,1.62 
Colorado School of Mines,2012,1.33 ,1.25 ,1.00 ,1.91 
Colorado School of Mines,2013,1.72 ,1.00 ,1.00 ,1.25 
Colorado School of Mines,2014,1.47 ,1.35 ,1.00 ,1.56 
Colorado School of Mines,2015,1.54 ,1.70 ,1.00 ,2.42 
Colorado School of Mines,2016,2.12 ,1.00 ,1.00 ,1.41 
Colorado School of Mines,2017,1.20 ,1.22 ,1.00 ,1.00 
