dept,Year,AIadj,SYSadj,Theoadj,IAadj
TTI Chicago,2000,1.25 ,1.00 ,1.33 ,1.00 
TTI Chicago,2001,1.70 ,1.00 ,1.83 ,1.00 
TTI Chicago,2002,1.71 ,1.00 ,2.67 ,1.00 
TTI Chicago,2003,2.16 ,1.00 ,1.17 ,2.00 
TTI Chicago,2004,2.50 ,1.50 ,2.67 ,1.00 
TTI Chicago,2005,1.63 ,1.25 ,3.50 ,1.89 
TTI Chicago,2006,1.77 ,1.00 ,2.50 ,1.63 
TTI Chicago,2007,1.58 ,1.00 ,3.42 ,1.63 
TTI Chicago,2008,1.70 ,1.33 ,3.50 ,1.57 
TTI Chicago,2009,1.78 ,1.00 ,3.83 ,1.93 
TTI Chicago,2010,2.27 ,1.00 ,1.86 ,1.90 
TTI Chicago,2011,1.68 ,1.00 ,4.58 ,1.71 
TTI Chicago,2012,2.03 ,1.00 ,5.08 ,1.25 
TTI Chicago,2013,2.33 ,1.00 ,1.50 ,1.61 
TTI Chicago,2014,2.01 ,1.00 ,2.50 ,1.58 
TTI Chicago,2015,1.94 ,1.00 ,4.17 ,1.96 
TTI Chicago,2016,2.03 ,1.00 ,2.17 ,1.00 
TTI Chicago,2017,1.99 ,1.00 ,2.87 ,1.50 
