dept,Year,AIadj,SYSadj,Theoadj,IAadj
Harvard University,2000,2.00 ,1.60 ,5.16 ,1.98 
Harvard University,2001,1.33 ,1.41 ,2.47 ,1.59 
Harvard University,2002,1.25 ,1.27 ,4.17 ,2.00 
Harvard University,2003,1.37 ,1.36 ,3.21 ,1.49 
Harvard University,2004,1.53 ,1.34 ,4.32 ,1.44 
Harvard University,2005,1.49 ,1.45 ,1.85 ,1.69 
Harvard University,2006,2.00 ,1.71 ,2.31 ,1.53 
Harvard University,2007,1.54 ,1.48 ,1.70 ,1.66 
Harvard University,2008,1.69 ,1.55 ,2.69 ,1.44 
Harvard University,2009,1.94 ,1.46 ,1.89 ,1.56 
Harvard University,2010,2.36 ,1.60 ,2.90 ,1.60 
Harvard University,2011,1.75 ,1.36 ,2.07 ,1.63 
Harvard University,2012,1.73 ,1.39 ,2.14 ,1.69 
Harvard University,2013,1.84 ,1.86 ,2.28 ,1.73 
Harvard University,2014,1.47 ,1.73 ,1.79 ,2.02 
Harvard University,2015,2.38 ,1.42 ,3.70 ,1.63 
Harvard University,2016,3.25 ,1.50 ,3.03 ,1.63 
Harvard University,2017,2.00 ,1.38 ,3.83 ,1.57 
