dept,Year,AIadj,SYSadj,Theoadj,IAadj
University of South Florida,2000,1.83 ,1.00 ,1.00 ,1.00 
University of South Florida,2001,2.00 ,1.00 ,1.00 ,1.00 
University of South Florida,2002,1.00 ,1.08 ,1.00 ,1.00 
University of South Florida,2003,1.00 ,1.33 ,1.25 ,1.00 
University of South Florida,2004,1.92 ,1.00 ,1.00 ,1.00 
University of South Florida,2005,1.00 ,1.40 ,1.00 ,1.00 
University of South Florida,2006,1.50 ,1.32 ,1.00 ,1.50 
University of South Florida,2007,1.33 ,1.17 ,1.00 ,1.00 
University of South Florida,2008,1.00 ,1.50 ,1.00 ,1.00 
University of South Florida,2009,1.83 ,1.33 ,1.00 ,1.33 
University of South Florida,2010,1.00 ,1.33 ,1.00 ,1.25 
University of South Florida,2012,1.14 ,1.50 ,1.00 ,1.00 
University of South Florida,2013,1.00 ,1.20 ,1.00 ,1.58 
University of South Florida,2014,1.25 ,1.25 ,1.00 ,1.90 
University of South Florida,2015,1.23 ,1.25 ,1.00 ,2.00 
University of South Florida,2016,1.36 ,1.14 ,1.00 ,1.15 
University of South Florida,2017,1.38 ,1.36 ,1.00 ,1.13 
