dept,Year,AIadj,SYSadj,Theoadj,IAadj
University of North Carolina,2000,1.00 ,1.22 ,1.33 ,2.06 
University of North Carolina,2001,2.33 ,1.84 ,1.50 ,1.91 
University of North Carolina,2002,1.37 ,1.61 ,1.50 ,1.81 
University of North Carolina,2003,1.75 ,1.56 ,1.00 ,1.98 
University of North Carolina,2004,2.13 ,2.08 ,1.50 ,1.83 
University of North Carolina,2005,3.00 ,1.68 ,1.00 ,2.43 
University of North Carolina,2006,1.90 ,1.43 ,1.00 ,1.56 
University of North Carolina,2007,4.65 ,1.61 ,1.00 ,1.87 
University of North Carolina,2008,3.40 ,1.53 ,1.00 ,1.72 
University of North Carolina,2009,2.02 ,1.73 ,1.00 ,1.91 
University of North Carolina,2010,1.85 ,1.99 ,1.00 ,1.81 
University of North Carolina,2011,2.09 ,1.91 ,1.00 ,1.59 
University of North Carolina,2012,2.05 ,1.42 ,1.00 ,1.61 
University of North Carolina,2013,1.96 ,1.78 ,1.00 ,1.84 
University of North Carolina,2014,3.40 ,1.69 ,1.00 ,2.47 
University of North Carolina,2015,1.95 ,1.37 ,1.00 ,1.52 
University of North Carolina,2016,2.06 ,1.84 ,1.00 ,2.11 
University of North Carolina,2017,2.41 ,1.35 ,1.00 ,1.66 
