dept,Year,AIadj,SYSadj,Theoadj,IAadj
Case Western Reserve University,2000,1.33 ,1.58 ,1.00 ,2.28 
Case Western Reserve University,2001,1.50 ,1.33 ,1.00 ,2.50 
Case Western Reserve University,2002,1.50 ,1.33 ,1.00 ,2.67 
Case Western Reserve University,2003,1.66 ,1.14 ,1.00 ,1.87 
Case Western Reserve University,2004,2.50 ,1.00 ,1.50 ,1.66 
Case Western Reserve University,2005,3.08 ,1.41 ,1.00 ,1.33 
Case Western Reserve University,2006,1.50 ,1.00 ,1.00 ,1.67 
Case Western Reserve University,2007,1.83 ,1.33 ,1.50 ,1.17 
Case Western Reserve University,2008,1.25 ,1.33 ,1.00 ,1.50 
Case Western Reserve University,2009,1.20 ,1.00 ,1.00 ,1.00 
Case Western Reserve University,2010,1.00 ,1.33 ,1.00 ,1.68 
Case Western Reserve University,2011,1.00 ,1.33 ,1.00 ,2.17 
Case Western Reserve University,2012,1.50 ,3.00 ,1.00 ,1.33 
Case Western Reserve University,2013,1.50 ,1.00 ,1.00 ,1.00 
Case Western Reserve University,2014,1.50 ,1.00 ,1.00 ,1.33 
Case Western Reserve University,2015,1.00 ,1.50 ,1.00 ,1.20 
Case Western Reserve University,2016,1.55 ,1.00 ,1.00 ,1.00 
