dept,Year,AIadj,SYSadj,Theoadj,IAadj
Tufts University,2000,2.25 ,1.73 ,1.00 ,1.55 
Tufts University,2001,1.33 ,1.25 ,1.14 ,1.20 
Tufts University,2002,1.00 ,1.41 ,1.00 ,1.25 
Tufts University,2003,1.00 ,1.50 ,1.00 ,1.00 
Tufts University,2004,2.00 ,1.83 ,1.00 ,1.26 
Tufts University,2005,1.00 ,2.17 ,1.00 ,1.00 
Tufts University,2006,1.00 ,2.05 ,1.00 ,1.50 
Tufts University,2007,1.58 ,1.40 ,1.00 ,1.61 
Tufts University,2008,1.00 ,1.22 ,1.00 ,1.17 
Tufts University,2009,1.33 ,1.41 ,1.00 ,1.54 
Tufts University,2010,1.43 ,1.65 ,1.00 ,1.50 
Tufts University,2011,1.00 ,2.70 ,1.00 ,1.40 
Tufts University,2012,1.53 ,1.29 ,1.00 ,1.49 
Tufts University,2013,1.46 ,1.00 ,1.00 ,1.37 
Tufts University,2014,2.25 ,1.82 ,1.00 ,1.47 
Tufts University,2015,1.41 ,1.00 ,1.00 ,1.40 
Tufts University,2016,2.00 ,1.43 ,1.00 ,1.28 
Tufts University,2017,1.34 ,1.50 ,1.00 ,1.14 
