dept,Year,AIadj,SYSadj,Theoadj,IAadj
Georgia Institute of Technology,2000,1.73 ,1.57 ,2.27 ,1.77 
Georgia Institute of Technology,2001,2.15 ,1.71 ,1.71 ,2.58 
Georgia Institute of Technology,2002,1.72 ,1.46 ,2.03 ,2.43 
Georgia Institute of Technology,2003,1.94 ,1.59 ,5.06 ,2.56 
Georgia Institute of Technology,2004,1.94 ,1.65 ,2.08 ,2.85 
Georgia Institute of Technology,2005,2.27 ,1.74 ,2.37 ,2.35 
Georgia Institute of Technology,2006,2.69 ,2.10 ,4.25 ,2.82 
Georgia Institute of Technology,2007,2.60 ,1.91 ,2.01 ,2.03 
Georgia Institute of Technology,2008,2.48 ,1.78 ,2.00 ,2.61 
Georgia Institute of Technology,2009,2.83 ,1.99 ,1.65 ,2.28 
Georgia Institute of Technology,2010,2.10 ,1.74 ,3.83 ,2.57 
Georgia Institute of Technology,2011,2.89 ,1.74 ,2.24 ,2.17 
Georgia Institute of Technology,2012,2.81 ,2.11 ,1.64 ,3.21 
Georgia Institute of Technology,2013,3.48 ,1.87 ,2.05 ,1.78 
Georgia Institute of Technology,2014,3.35 ,1.93 ,3.31 ,2.94 
Georgia Institute of Technology,2015,4.26 ,1.92 ,2.67 ,2.66 
Georgia Institute of Technology,2016,3.97 ,1.78 ,4.10 ,2.52 
Georgia Institute of Technology,2017,3.59 ,1.80 ,2.23 ,2.80 
