dept,Year,AIadj,SYSadj,Theoadj,IAadj
University of Florida,2000,1.50 ,1.67 ,1.00 ,1.00 
University of Florida,2001,1.61 ,1.31 ,1.00 ,1.00 
University of Florida,2002,1.78 ,1.31 ,1.67 ,1.00 
University of Florida,2003,1.83 ,1.33 ,1.33 ,1.25 
University of Florida,2004,2.61 ,1.37 ,1.00 ,1.50 
University of Florida,2005,2.33 ,1.35 ,1.33 ,1.32 
University of Florida,2006,3.65 ,1.75 ,1.50 ,1.61 
University of Florida,2007,1.61 ,1.75 ,1.00 ,1.53 
University of Florida,2008,1.94 ,1.52 ,1.00 ,1.74 
University of Florida,2009,1.52 ,1.31 ,1.33 ,1.50 
University of Florida,2010,1.70 ,1.41 ,1.00 ,1.34 
University of Florida,2011,2.00 ,1.45 ,1.33 ,1.52 
University of Florida,2012,1.70 ,1.31 ,1.33 ,1.25 
University of Florida,2013,1.60 ,1.71 ,1.00 ,1.82 
University of Florida,2014,1.92 ,1.54 ,1.33 ,1.51 
University of Florida,2015,1.67 ,1.52 ,1.50 ,1.21 
University of Florida,2016,1.63 ,2.05 ,1.33 ,1.45 
University of Florida,2017,1.41 ,1.38 ,1.33 ,1.20 
