dept,Year,AIadj,SYSadj,Theoadj,IAadj
University of Houston,2000,1.50 ,1.50 ,1.00 ,1.00 
University of Houston,2001,1.00 ,1.00 ,1.83 ,1.00 
University of Houston,2002,1.0,1.0,1.0,1.0
University of Houston,2003,1.13 ,1.00 ,1.00 ,1.33 
University of Houston,2004,1.83 ,1.00 ,1.00 ,1.33 
University of Houston,2005,1.58 ,1.22 ,1.50 ,1.00 
University of Houston,2006,1.00 ,1.47 ,1.00 ,1.00 
University of Houston,2007,1.33 ,1.41 ,1.00 ,1.00 
University of Houston,2008,2.00 ,1.33 ,1.00 ,1.26 
University of Houston,2009,1.32 ,1.29 ,1.00 ,1.41 
University of Houston,2010,1.50 ,1.00 ,1.00 ,1.18 
University of Houston,2011,1.33 ,1.00 ,1.13 ,1.14 
University of Houston,2012,1.59 ,1.50 ,1.25 ,1.31 
University of Houston,2013,1.41 ,1.17 ,1.20 ,1.52 
University of Houston,2014,1.50 ,1.33 ,1.00 ,1.50 
University of Houston,2015,1.41 ,1.00 ,1.45 ,1.38 
University of Houston,2016,1.52 ,1.65 ,1.00 ,1.18 
University of Houston,2017,1.23 ,1.00 ,1.33 ,1.32 
