dept,Year,AIadj,SYSadj,Theoadj,IAadj
University of Georgia,2000,1.00 ,1.00 ,1.00 ,1.50 
University of Georgia,2001,1.0,1.0,1.0,1.0
University of Georgia,2002,1.0,1.0,1.0,1.0
University of Georgia,2003,1.00 ,1.00 ,1.00 ,1.33 
University of Georgia,2004,1.25 ,1.00 ,1.00 ,1.00 
University of Georgia,2005,1.50 ,1.00 ,1.00 ,1.00 
University of Georgia,2006,1.49 ,1.45 ,1.00 ,1.20 
University of Georgia,2007,1.87 ,1.00 ,1.00 ,1.00 
University of Georgia,2008,1.50 ,1.25 ,1.00 ,1.00 
University of Georgia,2009,1.50 ,1.00 ,1.00 ,1.00 
University of Georgia,2010,1.08 ,1.26 ,1.00 ,1.00 
University of Georgia,2011,1.17 ,1.46 ,1.00 ,1.00 
University of Georgia,2012,1.50 ,1.31 ,1.00 ,1.00 
University of Georgia,2013,1.50 ,2.20 ,1.00 ,1.00 
University of Georgia,2014,1.00 ,1.67 ,1.00 ,1.00 
University of Georgia,2015,1.39 ,1.45 ,1.00 ,1.50 
University of Georgia,2016,1.24 ,1.28 ,1.00 ,1.00 
University of Georgia,2017,1.33 ,1.31 ,1.00 ,1.50 
