dept,Year,AIadj,SYSadj,Theoadj,IAadj
University of Southern California,2000,2.48 ,1.37 ,1.73 ,1.87 
University of Southern California,2001,1.94 ,1.35 ,2.83 ,2.61 
University of Southern California,2002,2.00 ,1.32 ,2.51 ,2.47 
University of Southern California,2003,1.87 ,1.44 ,1.83 ,3.55 
University of Southern California,2004,2.22 ,1.37 ,3.53 ,2.23 
University of Southern California,2005,2.62 ,1.44 ,2.00 ,2.53 
University of Southern California,2006,2.69 ,1.56 ,1.79 ,2.08 
University of Southern California,2007,3.58 ,1.40 ,1.65 ,3.03 
University of Southern California,2008,2.22 ,1.62 ,2.95 ,1.88 
University of Southern California,2009,2.28 ,1.78 ,2.38 ,2.26 
University of Southern California,2010,2.46 ,1.66 ,2.12 ,2.60 
University of Southern California,2011,3.15 ,1.35 ,4.48 ,2.56 
University of Southern California,2012,2.66 ,1.70 ,1.70 ,2.45 
University of Southern California,2013,2.67 ,1.64 ,2.63 ,3.17 
University of Southern California,2014,2.94 ,1.79 ,2.20 ,2.57 
University of Southern California,2015,3.06 ,1.50 ,1.83 ,3.15 
University of Southern California,2016,2.82 ,1.62 ,1.94 ,2.65 
University of Southern California,2017,2.72 ,2.05 ,2.33 ,2.53 
