dept,Year,AIadj,SYSadj,Theoadj,IAadj
College of William and Mary,2000,1.00 ,1.50 ,1.00 ,1.00 
College of William and Mary,2001,1.00 ,1.49 ,1.00 ,1.00 
College of William and Mary,2002,1.00 ,1.50 ,1.00 ,1.00 
College of William and Mary,2003,1.00 ,1.33 ,1.00 ,1.25 
College of William and Mary,2004,1.00 ,1.25 ,1.00 ,1.00 
College of William and Mary,2005,1.25 ,1.34 ,1.00 ,1.00 
College of William and Mary,2006,1.00 ,1.21 ,1.00 ,1.14 
College of William and Mary,2007,1.00 ,1.25 ,1.00 ,1.00 
College of William and Mary,2008,1.00 ,1.33 ,1.00 ,1.28 
College of William and Mary,2009,1.00 ,1.26 ,1.00 ,1.64 
College of William and Mary,2010,1.00 ,1.28 ,1.00 ,1.20 
College of William and Mary,2011,1.25 ,1.20 ,1.00 ,1.25 
College of William and Mary,2012,1.33 ,1.30 ,1.20 ,1.20 
College of William and Mary,2013,1.00 ,1.44 ,1.50 ,1.40 
College of William and Mary,2014,1.25 ,1.27 ,1.00 ,1.65 
College of William and Mary,2015,1.00 ,1.29 ,1.00 ,1.38 
College of William and Mary,2016,1.21 ,1.82 ,1.00 ,1.25 
College of William and Mary,2017,1.25 ,1.51 ,1.00 ,1.25 
