dept,Year,AIadj,SYSadj,Theoadj,IAadj
George Mason University,2000,1.40 ,1.48 ,1.00 ,2.00 
George Mason University,2001,1.73 ,1.77 ,1.00 ,2.00 
George Mason University,2002,1.26 ,1.65 ,1.00 ,1.83 
George Mason University,2003,1.70 ,2.00 ,1.00 ,1.49 
George Mason University,2004,1.20 ,1.77 ,1.00 ,1.70 
George Mason University,2005,1.25 ,2.02 ,1.00 ,1.25 
George Mason University,2006,1.67 ,1.36 ,1.00 ,1.91 
George Mason University,2007,1.50 ,1.51 ,1.00 ,1.33 
George Mason University,2008,1.41 ,1.55 ,1.25 ,1.73 
George Mason University,2009,1.34 ,1.83 ,1.00 ,1.73 
George Mason University,2010,1.00 ,1.44 ,1.50 ,1.00 
George Mason University,2011,1.50 ,1.33 ,1.00 ,2.83 
George Mason University,2012,1.40 ,1.43 ,1.00 ,1.34 
George Mason University,2013,1.57 ,1.31 ,1.25 ,1.50 
George Mason University,2014,1.33 ,1.43 ,1.11 ,1.66 
George Mason University,2015,1.44 ,1.47 ,1.33 ,2.35 
George Mason University,2016,1.21 ,1.32 ,1.00 ,1.33 
George Mason University,2017,1.25 ,1.49 ,1.00 ,1.61 
